"Region"	"Site"	"Year"	"Adults"	"Pups"
"West Coast Vancouver Island"	"Long Beach"	1971	394	NA
"West Coast Vancouver Island"	"Long Beach"	1972	265	NA
"West Coast Vancouver Island"	"Long Beach"	1977	10	NA
"West Coast Vancouver Island"	"Long Beach"	1982	262	NA
"West Coast Vancouver Island"	"Long Beach"	1987	231	NA
"West Coast Vancouver Island"	"Long Beach"	1992	344	NA
"West Coast Vancouver Island"	"Long Beach"	1994	298	NA
"West Coast Vancouver Island"	"Long Beach"	1998	535	NA
"West Coast Vancouver Island"	"Long Beach"	2002	714	NA
"West Coast Vancouver Island"	"Long Beach"	2006	388	NA
"West Coast Vancouver Island"	"Long Beach"	2008	295	NA
"West Coast Vancouver Island"	"Long Beach"	2010	367	NA
"West Coast Vancouver Island"	"Long Beach"	2013	447	NA
"West Coast Vancouver Island"	"Plover Reefs"	1971	0	NA
"West Coast Vancouver Island"	"Plover Reefs"	1972	0	NA
"West Coast Vancouver Island"	"Plover Reefs"	1977	0	NA
"West Coast Vancouver Island"	"Plover Reefs"	1982	0	NA
"West Coast Vancouver Island"	"Plover Reefs"	1987	0	NA
"West Coast Vancouver Island"	"Plover Reefs"	1992	0	NA
"West Coast Vancouver Island"	"Plover Reefs"	1994	0	NA
"West Coast Vancouver Island"	"Plover Reefs"	1998	0	NA
"West Coast Vancouver Island"	"Plover Reefs"	2002	0	NA
"West Coast Vancouver Island"	"Plover Reefs"	2006	0	NA
"West Coast Vancouver Island"	"Plover Reefs"	2008	10	NA
"West Coast Vancouver Island"	"Plover Reefs"	2010	0	NA
"West Coast Vancouver Island"	"Plover Reefs"	2013	154	NA
"West Coast Vancouver Island"	"Raphael Point"	1971	0	NA
"West Coast Vancouver Island"	"Raphael Point"	1972	0	NA
"West Coast Vancouver Island"	"Raphael Point"	1977	0	NA
"West Coast Vancouver Island"	"Raphael Point"	1982	0	NA
"West Coast Vancouver Island"	"Raphael Point"	1987	0	NA
"West Coast Vancouver Island"	"Raphael Point"	1992	0	NA
"West Coast Vancouver Island"	"Raphael Point"	1994	58	NA
"West Coast Vancouver Island"	"Raphael Point"	1998	0	NA
"West Coast Vancouver Island"	"Raphael Point"	2002	0	NA
"West Coast Vancouver Island"	"Raphael Point"	2006	0	NA
"West Coast Vancouver Island"	"Raphael Point"	2008	0	NA
"West Coast Vancouver Island"	"Raphael Point"	2010	0	NA
"West Coast Vancouver Island"	"Raphael Point"	2013	0	NA
"West Coast Vancouver Island"	"Perez Rocks"	2006	353	NA
"West Coast Vancouver Island"	"Perez Rocks"	2008	466	NA
"West Coast Vancouver Island"	"Perez Rocks"	2010	321	NA
"West Coast Vancouver Island"	"Perez Rocks"	2013	320	NA
"West Coast Vancouver Island"	"Perez Rocks"	1971	0	NA
"West Coast Vancouver Island"	"Perez Rocks"	1972	0	NA
"West Coast Vancouver Island"	"Perez Rocks"	1977	0	NA
"West Coast Vancouver Island"	"Perez Rocks"	1982	0	NA
"West Coast Vancouver Island"	"Perez Rocks"	1987	0	NA
"West Coast Vancouver Island"	"Perez Rocks"	1992	0	NA
"West Coast Vancouver Island"	"Perez Rocks"	1994	0	NA
"West Coast Vancouver Island"	"Perez Rocks"	1998	0	NA
"West Coast Vancouver Island"	"Perez Rocks"	2002	0	NA
"West Coast Vancouver Island"	"Perez Rocks"	2006	16	NA
"West Coast Vancouver Island"	"Perez Rocks"	2008	2	NA
"West Coast Vancouver Island"	"Perez Rocks"	2010	0	NA
"West Coast Vancouver Island"	"Perez Rocks"	2013	2	NA
"West Coast Vancouver Island"	"Barrier Islands"	1977	105	NA
